Date,Spot_Price,Total OI,Market Cap,OI to Market Cap %,pct change,Futures Price,Funding Rate (Calculated),Funding Rate %
2022-11-06,21292.0,13099473886.0,405988361156.25,3.226563896731634,0.7156620706670891,20970.0,-322.0,0.007696333333333333
2022-11-07,20923.4308,12429690498.0,397920876375.0,3.1236588065528585,-1.7310219800864224,20845.0,-78.43079999999827,0.009271
2022-11-08,20576.5,12004903203.0,355756959318.75,3.3744675651569995,-1.6580971032723713,18080.0,-2496.5,0.005057666666666666
2022-11-10,15877.56,9992383031.0,340314084000.0,2.9362237711560595,-22.836439627730666,17780.0,1902.4400000000005,-0.084986
2022-11-11,17591.7,10188657543.0,318971173718.75,3.194225178474516,10.795991323603893,16050.0,-1541.7000000000007,-0.010843666666666666
2022-11-12,17053.61,9873874861.0,322581876500.0,3.060889523035557,-3.0587720345390146,,,0.0031383333333333333
2022-11-13,16776.765,9918820574.0,318157018406.25,3.1175866003794406,-1.6233806214637325,,,-0.0014026666666666666
2022-11-14,16221.0,9549986458.0,318648484875.0,2.9970286730678435,-3.312706591527026,16005.0,-216.0,-0.004195333333333333
2022-11-15,16576.695,9417651141.0,323238008625.0,2.913534575052328,2.1928056223414094,16690.0,113.30500000000029,-0.008771333333333334
2022-11-16,16887.0,9610097395.0,318335691000.0,3.0188564043231962,1.871935268158098,16285.0,-602.0,-0.0062373333333333334
2022-11-17,16660.959,9562362542.0,320712202125.0,2.981602345854305,-1.3385503641854757,16520.0,-140.95899999999892,-0.004127
2022-11-18,16685.0,9796512823.0,319977687300.0,3.0616237355997664,0.14429541540796897,16530.0,-155.0,0.00017233333333333334
2022-11-19,16673.4521,9776873998.0,322338936000.0,3.0331036390837998,-0.06921126760564,,,0.004094666666666667
2022-11-20,16741.5,9782582982.0,318432118500.0,3.0721093801974626,0.4081212432307302,,,0.000598
2022-11-21,16263.976,9719195521.0,306783152025.0,3.16809950508885,-2.8523370068392895,15690.0,-573.9760000000006,0.002994
2022-11-22,15771.0,9625793774.0,310312560000.0,3.101967182378954,-3.0310915362885438,16055.0,284.0,0.0008096666666666663
2022-11-23,16181.7,9824712828.0,319242994200.0,3.0775030326413346,2.6041468518166244,16610.0,428.2999999999993,0.006338666666666667
2022-11-24,16614.5,9808243907.0,318354267681.25,3.080921131806669,2.6746262753604366,,,0.004568
2022-11-25,16601.08,9757619032.0,317424341250.0,3.073998356135834,-0.08077281892321375,16512.3,-88.78000000000247,0.0012826666666666665
2022-11-26,16513.5,9753210069.0,317492214243.75,3.0719525177118565,-0.5275560385228029,,,0.0016423333333333333
2022-11-27,16454.69,9808992010.0,316702176468.75,3.097229112654325,-0.3561328609925307,,,0.0005936666666666664
